k, F(k), A(k)
0,0,0
1,1,0
2,1,1
3,2,2
4,3,4
5,5,7
6,8,12
7,13,20
8,21,33
9,34,54
10,55,88
11,89,143
12,144,232
13,233,376
14,377,609
15,610,986
16,987,1596
17,1597,2583
18,2584,4180
19,4181,6764
20,6765,10945
21,10946,17710
22,17711,28656
23,28657,46367
24,46368,75024
25,75025,121392
26,121393,196417
27,196418,317810
28,317811,514228
29,514229,832039
30,832040,1346268
31,1346269,2178308
32,2178309,3524577
33,3524578,5702886
34,5702887,9227464
35,9227465,14930351
36,14930352,24157816
37,24157817,39088168
38,39088169,63245985
39,63245986,102334154
40,102334155,165580140
41,165580141,267914295
42,267914296,433494436
43,433494437,701408732
44,701408733,1134903169
